id,name,features
8057,Sweet Bird of Youth (1962),Drama
360,I Love Trouble (1994),Action|Comedy
158,Casper (1995),Adventure|Children
42422,Voices of a Distant Star (Hoshi no koe) (2003),Animation|Drama|Romance|Sci-Fi
79798,I Killed My Mother (J'ai tué ma mère) (2009),Drama
118,If Lucy Fell (1996),Comedy|Romance
111443,Chef (2014),Comedy
5919,Android (1982),Sci-Fi
98154,Lincoln (2012),Drama|War
5021,Murder by Death (1976),Comedy|Crime|Mystery|Thriller
5080,Slackers (2002),Comedy
68848,"Brothers Bloom, The (2008)",Adventure|Comedy|Crime|Romance
1625,"Game, The (1997)",Drama|Mystery|Thriller
71732,I Sell the Dead (2008),Comedy|Horror
32009,Tyler Perry's Diary of a Mad Black Woman (2005),Comedy|Drama|Romance
85881,Win Win (2011),Comedy|Drama
175475,The Emoji Movie (2017),Animation|Children|Comedy
3692,Class of Nuke 'Em High (1986),Comedy|Horror
3669,Stay Tuned (1992),Comedy
4831,Can't Stop the Music (1980),Comedy|Musical
8405,Hour of the Wolf (Vargtimmen) (1968),Drama|Horror
2320,Apt Pupil (1998),Drama|Thriller
5013,Gosford Park (2001),Comedy|Drama|Mystery
112171,"Equalizer, The (2014)",Action|Crime|Thriller
3963,"Unsinkable Molly Brown, The (1964)",Musical
84844,Brother 2 (Brat 2) (2000),Crime|Drama
888,Land Before Time III: The Time of the Great Giving (1995),Adventure|Animation|Children|Musical
71464,"Serious Man, A (2009)",Comedy|Drama
7976,Ken Park (2002),Drama
1676,Starship Troopers (1997),Action|Sci-Fi
5604,"Man in the White Suit, The (1951)",Comedy|Sci-Fi
58293,"10,000 BC (2008)",Adventure|Romance|Thriller
184253,The Cloverfield Paradox (2018),Horror|Mystery|Sci-Fi|Thriller
81156,Jackass 3D (2010),Action|Comedy|Documentary
4369,"Fast and the Furious, The (2001)",Action|Crime|Thriller
100,City Hall (1996),Drama|Thriller
87304,Beginners (2010),Drama
353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
45648,Game 6 (2005),Comedy|Drama
36,Dead Man Walking (1995),Crime|Drama
512,"Puppet Masters, The (1994)",Horror|Sci-Fi
71264,Cloudy with a Chance of Meatballs (2009),Animation|Children|Fantasy|IMAX
143511,Human (2015),Documentary
3393,Date with an Angel (1987),Comedy|Fantasy|Romance
1447,Gridlock'd (1997),Crime
8577,Comandante (2003),Documentary
73681,"Concert, Le (2009)",Comedy|Drama
3641,"Woman of Paris, A (1923)",Drama
6332,"Lizzie McGuire Movie, The (2003)",Children|Comedy|Romance
