userId,itemId,rating
1,73528,5.0
1,77705,1.0
2,71480,5.0
2,83859,2.0
2,83807,1.0
3,77119,3.0
3,74584,1.0
3,85287,3.0
4,81902,5.0
5,78712,2.0
5,73186,1.0
5,78092,1.0
6,79562,1.0
6,78496,4.0
7,79956,1.0
8,70369,5.0
8,80671,1.0
8,75025,4.0
8,75221,3.0
8,84012,4.0
10,82267,2.0
10,69869,3.0
11,74158,1.0
12,83534,5.0
12,72457,3.0
13,78734,5.0
13,84943,5.0
14,70068,5.0
14,82980,1.0
14,77702,5.0
15,76625,1.0
15,72884,1.0
15,73865,3.0
16,70316,5.0
16,76131,5.0
16,76128,3.0
16,80731,4.0
16,79712,4.0
17,80759,3.0
17,75588,3.0
17,77191,5.0
18,74530,3.0
18,80398,5.0
19,85191,5.0
20,69642,4.0
21,70299,3.0
21,75277,5.0
22,74309,3.0
22,70189,3.0
22,72571,3.0
22,70139,3.0
23,85012,2.0
24,79785,5.0
24,76142,5.0
25,81049,3.0
25,76672,2.0
26,81561,2.0
26,71633,3.0
26,71642,5.0
27,80599,5.0
28,70904,2.0
28,81021,5.0
29,75756,2.0
30,80259,4.0
32,71415,2.0
32,84735,3.0
33,83393,4.0
34,73692,4.0
35,77238,1.0
36,75807,5.0
38,76222,1.0
38,76746,3.0
38,76201,1.0
38,76014,5.0
38,82711,1.0
39,78900,2.0
39,74591,4.0
39,83212,2.0
40,82849,5.0
40,84205,5.0
40,85225,1.0
41,82708,2.0
41,70603,5.0
42,71757,5.0
42,72091,5.0
43,76762,2.0
43,84481,4.0
43,74217,3.0
44,77738,5.0
46,85346,3.0
46,73612,1.0
48,78190,5.0
49,70306,3.0
49,70902,1.0
49,69630,1.0
49,80115,3.0
49,79934,3.0
50,85224,1.0
50,82796,2.0
52,71443,2.0
53,71065,3.0
53,79639,4.0
54,72947,4.0
55,85187,2.0
58,71229,5.0
60,83039,2.0
60,77141,4.0
60,79112,5.0
60,85368,1.0
61,85259,1.0
62,79767,3.0
64,84819,3.0
66,78848,4.0
66,79696,4.0
66,80603,2.0
67,82027,5.0
67,71468,5.0
68,75699,5.0
68,83323,5.0
68,70575,5.0
69,79228,5.0
69,85058,4.0
70,73338,5.0
70,75939,4.0
72,80375,2.0
72,76150,5.0
72,83294,4.0
73,79959,5.0
74,79004,1.0
74,84983,5.0
75,82437,2.0
75,85406,2.0
75,71942,1.0
75,83677,4.0
75,82974,2.0
76,78402,1.0
77,85307,4.0
78,79628,1.0
79,73428,4.0
79,73772,2.0
79,79404,2.0
80,70227,4.0
81,78274,4.0
81,76535,2.0
84,83528,1.0
84,84339,1.0
84,80719,5.0
84,85255,5.0
85,78348,5.0
85,72421,1.0
85,74969,3.0
85,70605,3.0
86,75972,1.0
87,84739,1.0
88,70162,5.0
88,76623,2.0
88,76964,4.0
89,72997,3.0
89,77698,5.0
90,75363,5.0
90,79036,4.0
90,73627,4.0
91,85257,4.0
91,74823,5.0
91,77639,5.0
92,82614,4.0
92,74974,2.0
93,70076,5.0
93,81647,2.0
93,78789,4.0
94,82196,5.0
94,83122,2.0
94,74946,1.0
95,71580,3.0
95,84042,5.0
96,79600,1.0
97,83981,5.0
98,84550,5.0
99,79394,3.0
99,81851,3.0
100,85655,1.0
101,75867,5.0
102,79513,2.0
102,71890,1.0
102,77687,5.0
102,74528,2.0
103,71771,5.0
104,76728,5.0
104,77362,2.0
104,79868,4.0
105,79591,3.0
105,74193,2.0
105,75851,2.0
107,75447,5.0
107,81121,2.0
107,80585,2.0
107,82802,5.0
107,84714,4.0
109,84262,3.0
109,72425,2.0
109,80143,3.0
109,70246,2.0
109,73466,3.0
109,70272,1.0
110,77548,5.0
111,78471,5.0
111,70829,5.0
111,81709,3.0
112,78897,3.0
112,82980,3.0
112,79161,4.0
112,75916,5.0
114,77759,3.0
114,72504,2.0
114,83526,5.0
114,71783,4.0
115,82234,3.0
116,80580,1.0
117,69968,1.0
117,78179,5.0
117,82322,4.0
118,77408,5.0
118,74474,2.0
119,78348,4.0
120,83327,3.0
121,74783,1.0
121,79079,5.0
122,74563,5.0
122,79241,1.0
122,77047,1.0
122,83754,2.0
123,82780,5.0
123,74010,5.0
126,84527,5.0
127,71351,5.0
127,79601,4.0
127,70213,5.0
127,70353,3.0
128,80706,5.0
128,72513,5.0
129,79120,5.0
129,77971,1.0
130,85761,3.0
130,71419,3.0
130,77921,5.0
130,78742,3.0
130,76678,5.0
130,73859,5.0
131,76744,2.0
133,71249,1.0
133,77450,3.0
133,83954,2.0
133,80838,1.0
134,85190,5.0
134,74831,5.0
137,70341,2.0
137,77380,3.0
138,83008,4.0
138,84580,1.0
140,73126,3.0
140,73206,3.0
140,71414,5.0
140,78333,4.0
141,84862,5.0
142,73410,1.0
142,73769,2.0
142,85318,1.0
143,80028,5.0
143,69715,3.0
143,72327,5.0
144,71148,1.0
144,74648,4.0
144,76661,4.0
145,85608,3.0
145,78462,4.0
145,74305,5.0
146,84152,2.0
147,76370,5.0
147,82025,3.0
147,70738,1.0
147,76115,1.0
148,77692,4.0
149,83146,3.0
149,72261,5.0
150,71418,4.0
150,75551,5.0
151,81634,4.0
151,83859,1.0
152,69972,5.0
152,79168,5.0
152,79702,5.0
152,72270,5.0
153,78853,5.0
153,73158,2.0
153,76193,3.0
153,74948,4.0
154,70496,5.0
155,77288,5.0
155,70823,5.0
155,70010,1.0
155,73165,4.0
156,70755,4.0
157,78477,5.0
158,71153,5.0
162,70372,2.0
163,73462,5.0
163,75367,5.0
163,77016,3.0
163,75692,2.0
164,81152,4.0
166,74365,3.0
167,82623,2.0
167,83502,1.0
170,76678,2.0
171,71308,3.0
171,69781,3.0
171,79408,5.0
171,84996,2.0
172,76147,1.0
172,75763,2.0
172,78089,4.0
173,72399,1.0
174,76616,5.0
174,82344,5.0
174,77584,5.0
174,79640,4.0
175,75501,5.0
175,80110,4.0
176,81338,2.0
176,77488,3.0
176,85034,2.0
180,73643,1.0
180,72148,5.0
180,70724,1.0
181,73047,5.0
181,76264,3.0
182,70110,2.0
182,71026,2.0
182,77947,1.0
182,74113,5.0
184,72230,4.0
184,79842,3.0
184,75473,2.0
186,79814,2.0
186,83391,2.0
186,74779,2.0
186,84229,4.0
187,82389,3.0
187,69935,5.0
188,79179,4.0
188,83883,5.0
188,74206,1.0
189,71427,3.0
189,71762,4.0
190,83996,2.0
190,76195,2.0
190,78709,5.0
191,82455,5.0
191,71138,4.0
192,81278,5.0
193,77994,4.0
193,70057,2.0
194,75396,5.0
194,84781,4.0
194,70652,1.0
194,85154,2.0
194,80261,2.0
195,83360,3.0
196,73976,1.0
196,76088,4.0
197,79733,1.0
197,69866,3.0
198,85809,1.0
198,73486,5.0
198,70426,4.0
198,69655,1.0
199,80554,5.0
199,85547,5.0
201,79831,3.0
202,74096,4.0
202,76447,5.0
203,82328,3.0
203,75909,3.0
203,80529,1.0
203,71600,3.0
203,72706,5.0
204,76035,5.0
205,81454,1.0
205,73322,5.0
206,73282,2.0
206,78845,4.0
206,71706,3.0
207,74562,4.0
208,70934,3.0
209,83441,5.0
210,70331,4.0
211,70477,5.0
211,80980,4.0
211,73801,5.0
212,76037,5.0
212,75787,2.0
212,72881,5.0
212,80032,5.0
212,72663,1.0
213,78674,1.0
213,84986,1.0
214,72151,1.0
214,82445,2.0
214,79795,3.0
216,78907,5.0
216,85235,1.0
217,73301,5.0
217,85149,2.0
217,85383,3.0
217,76634,2.0
219,71540,1.0
219,71955,3.0
220,69700,3.0
221,77861,5.0
221,71218,5.0
222,74641,5.0
222,70676,1.0
223,84588,3.0
223,70299,2.0
223,72672,3.0
224,72032,5.0
225,82629,3.0
225,78228,1.0
225,70514,3.0
226,80423,5.0
226,70240,5.0
226,72192,2.0
226,72487,3.0
227,84191,5.0
227,80353,1.0
228,82033,4.0
228,72044,2.0
231,70155,2.0
232,71162,5.0
232,78345,5.0
233,76227,2.0
233,69623,5.0
234,82286,5.0
234,78958,5.0
234,79490,5.0
235,79223,2.0
237,85434,5.0
237,75520,2.0
237,81722,5.0
238,71564,1.0
239,69625,2.0
240,74991,1.0
241,79087,3.0
241,85145,3.0
241,82159,4.0
242,72139,2.0
242,81157,5.0
242,82919,4.0
242,73212,5.0
243,80138,5.0
243,77661,3.0
244,74084,5.0
244,85196,3.0
244,82763,3.0
244,83792,4.0
245,70925,4.0
245,81854,5.0
245,76804,2.0
246,76835,1.0
246,80745,2.0
247,75615,3.0
248,77750,1.0
248,74180,2.0
249,81195,3.0
250,81280,1.0
251,76307,3.0
251,85576,3.0
252,81745,5.0
252,75438,5.0
253,76962,5.0
253,79022,3.0
253,69888,3.0
253,77189,2.0
253,71122,1.0
253,84600,1.0
253,82220,5.0
254,81496,5.0
254,82066,2.0
254,84726,1.0
254,85704,2.0
254,84082,3.0
255,84113,5.0
255,77838,1.0
256,72824,4.0
256,74729,3.0
258,79063,3.0
259,74107,5.0
260,74978,3.0
260,78797,2.0
261,72175,4.0
262,75578,5.0
262,78998,3.0
262,75632,4.0
266,73053,5.0
266,78485,3.0
266,77762,3.0
267,82634,1.0
267,83444,5.0
269,82034,5.0
269,80362,5.0
269,72183,3.0
270,75958,2.0
270,71436,4.0
271,71731,5.0
274,71512,5.0
274,79953,3.0
275,82896,4.0
275,70544,1.0
275,83593,3.0
275,78218,1.0
276,81232,5.0
276,79474,1.0
276,76619,3.0
277,78746,3.0
277,71097,4.0
277,77805,2.0
277,85431,2.0
279,70874,3.0
279,80326,5.0
279,79628,3.0
280,70301,2.0
281,84001,1.0
282,82073,5.0
283,81718,1.0
283,84813,4.0
283,71604,1.0
284,82013,4.0
284,71731,5.0
284,81148,3.0
284,73342,5.0
285,70607,2.0
285,81815,4.0
286,79059,3.0
288,80815,1.0
288,72987,5.0
288,77492,4.0
289,85042,2.0
290,75778,1.0
291,76084,5.0
291,82664,2.0
291,75323,3.0
293,83838,2.0
293,83204,1.0
294,79722,3.0
295,74035,5.0
297,70328,5.0
300,85647,3.0
300,84791,5.0
301,84992,5.0
301,81396,2.0
301,70283,3.0
301,82593,3.0
302,73482,2.0
302,84730,2.0
303,78585,3.0
303,75818,4.0
303,73367,5.0
304,78477,1.0
304,74381,1.0
304,75543,2.0
305,77630,3.0
305,77991,2.0
306,73886,5.0
306,83343,2.0
306,70050,4.0
306,84586,1.0
307,71809,5.0
307,75965,2.0
307,72429,4.0
307,74226,3.0
308,77386,2.0
310,79565,2.0
311,73170,3.0
312,76654,5.0
312,79208,3.0
313,81600,5.0
313,69855,1.0
314,81153,2.0
314,73713,4.0
315,77338,2.0
317,83277,3.0
317,74369,3.0
318,84171,5.0
318,82242,4.0
319,84103,3.0
319,77953,5.0
320,73795,4.0
321,72095,1.0
321,76482,5.0
322,81887,5.0
322,70915,2.0
322,81501,4.0
322,79030,2.0
324,83373,4.0
324,74297,5.0
324,80686,2.0
325,70527,5.0
325,76345,2.0
325,79287,5.0
326,72639,3.0
326,84607,4.0
327,74259,1.0
328,79543,4.0
329,79509,3.0
329,76085,3.0
330,82596,4.0
330,72496,5.0
330,83059,2.0
332,69784,1.0
332,79156,3.0
333,70797,4.0
334,83190,5.0
335,72172,2.0
335,77405,3.0
336,76468,5.0
337,81039,3.0
337,74707,5.0
337,76798,5.0
338,71197,4.0
338,80231,5.0
339,79979,3.0
339,85610,5.0
339,71439,1.0
340,74966,5.0
340,77037,1.0
340,79189,3.0
341,76889,4.0
341,71595,3.0
342,79141,4.0
344,84537,5.0
345,76235,2.0
346,80961,5.0
346,75342,5.0
347,85823,2.0
348,81574,5.0
349,74977,3.0
350,72577,2.0
350,75718,4.0
351,77829,4.0
351,83932,5.0
352,85142,5.0
352,77680,1.0
352,83064,1.0
352,73273,5.0
352,72728,4.0
354,76791,1.0
354,69611,3.0
354,71615,3.0
354,73812,3.0
