userId,itemId,rating
11,1,4.1
11,2,3.4
11,3,5.5
11,4,2.3
11,5,2.3
11,6,2.3
11,7,2.4
11,8,2.2
11,9,4.2
11,10,2.4
11,11,2.4
11,12,2.4
11,13,2.6
11,14,3.7
11,15,2.4
11,16,2.4
11,17,2.0
11,18,2.3
11,19,2.4
11,20,2.6
11,21,2.9
11,22,2.5
11,23,2.3
11,24,2.4
11,69745,2.2
11,69833,2.5
11,69834,2.5
11,69835,2.3
11,69926,4.1
11,69664,2.4
12,1,3.3
12,2,2.7
12,3,4.7
12,4,1.6
12,5,1.7
12,6,1.6
12,7,1.7
12,8,1.5
12,9,3.4
12,10,1.7
12,11,1.7
12,12,1.7
12,13,1.9
12,14,3.0
12,15,1.7
12,16,1.7
12,17,1.4
12,18,1.6
12,19,1.7
12,20,1.9
12,21,2.1
12,22,1.8
12,23,1.6
12,24,1.7
12,69745,1.5
12,69833,1.8
12,69834,1.8
12,69835,1.6
12,69926,3.3
12,69664,1.8
13,1,1.0
13,2,1.0
13,3,3.8
13,4,0.9
13,5,1.0
13,6,0.9
13,7,1.0
13,8,0.9
13,9,2.5
13,10,1.0
13,11,0.9
13,12,0.9
13,13,1.2
13,14,2.1
13,15,1.0
13,16,1.0
13,17,0.8
13,18,1.0
13,19,1.0
13,20,1.2
13,21,1.3
13,22,1.1
13,23,0.9
13,24,1.0
13,69745,0.9
13,69833,1.1
13,69834,1.1
13,69835,0.9
13,69926,2.4
13,69664,1.2
15,1,2.6
15,2,1.9
15,3,4.0
15,4,1.0
15,5,1.0
15,6,1.0
15,7,1.1
15,8,1.0
15,9,2.7
15,10,1.1
15,11,1.0
15,12,1.0
15,13,1.2
15,14,2.2
15,15,1.1
15,16,1.1
15,17,0.8
15,18,1.1
15,19,1.1
15,20,1.3
15,21,1.0
15,22,1.2
15,23,1.0
15,24,1.1
15,69745,0.9
15,69833,1.2
15,69834,1.2
15,69835,1.0
15,69926,5.0
15,69664,1.2
17,1,1.4
17,2,1.0
17,3,2.5
17,4,0.4
17,5,0.4
17,6,0.4
17,7,0.4
17,8,0.4
17,9,1.5
17,10,0.4
17,11,0.4
17,12,0.4
17,13,0.5
17,14,1.2
17,15,0.4
17,16,0.4
17,17,0.3
17,18,0.4
17,19,0.4
17,20,0.6
17,21,0.6
17,22,0.5
17,23,0.4
17,24,0.4
17,69745,0.4
17,69833,0.5
17,69834,0.5
17,69835,0.4
17,69926,1.4
17,69664,5.0
