userId,itemId,actual_rating,mf_predicted_rating
1,11,0.0,3.7
1,43,0.0,3.4
1,85,0.0,3.9
1,89,0.0,3.4
1,104,0.0,3.7
1,105,0.0,3.4
1,107,0.0,3.7
1,108,0.0,2.4
1,162,0.0,4.2
1,172,0.0,3.0
1,201,0.0,1.9
1,283,0.0,3.4
1,290,0.0,4.1
1,307,0.0,4.3
1,346,0.0,3.6
1,357,0.0,3.7
1,363,0.0,3.4
1,372,0.0,3.0
1,393,0.0,2.7
1,416,0.0,2.6
1,522,0.0,3.0
1,680,0.0,4.0
1,694,0.0,3.3
1,848,0.0,3.7
1,932,0.0,4.0
1,1006,0.0,3.5
1,1024,0.0,3.6
1,1032,5.0,3.9
1,1037,0.0,3.3
1,1040,0.0,2.0
1,1259,0.0,4.2
1,1261,0.0,4.4
1,1266,0.0,4.3
1,1271,0.0,3.6
1,1388,0.0,3.1
1,1391,0.0,3.2
1,1396,3.0,3.8
1,1398,0.0,1.5
1,1415,0.0,2.2
1,1440,0.0,1.4
1,1496,0.0,2.5
1,1502,0.0,2.2
1,1518,0.0,3.4
1,1564,0.0,3.5
1,1572,0.0,2.6
1,1580,3.0,3.6
1,1655,0.0,2.6
1,1665,0.0,3.3
1,1762,0.0,1.9
1,1769,0.0,3.2
1,1955,0.0,4.2
1,1964,0.0,4.3
1,2007,0.0,3.1
1,2013,0.0,3.2
1,2023,0.0,3.6
1,2042,0.0,2.7
1,2046,4.0,3.6
1,2114,0.0,3.9
1,2135,0.0,4.4
1,2137,5.0,3.9
1,2160,0.0,4.5
1,2171,0.0,3.2
1,2203,0.0,4.4
1,2248,0.0,3.9
1,2269,0.0,3.3
1,2310,0.0,3.5
1,2327,0.0,3.7
1,2366,4.0,4.1
1,2381,0.0,2.5
1,2389,2.0,2.3
1,2417,0.0,0.6
1,2511,0.0,4.4
1,2514,0.0,2.2
1,2540,0.0,2.6
1,2550,0.0,4.1
1,2568,0.0,4.1
1,2606,0.0,2.9
1,2609,0.0,2.4
1,2804,0.0,4.2
1,2810,0.0,4.3
1,2819,0.0,3.9
1,2829,0.0,3.0
1,2863,0.0,3.9
1,2924,0.0,4.6
1,2966,0.0,4.3
1,2989,0.0,3.8
1,3016,0.0,3.4
1,3095,0.0,4.3
1,3102,0.0,4.0
1,3106,0.0,0.4
1,3130,0.0,2.9
1,3169,0.0,3.5
1,3217,0.0,3.2
1,3271,0.0,3.9
1,3301,0.0,3.6
1,3308,0.0,3.4
1,3326,0.0,3.0
1,3363,0.0,4.1
1,3378,0.0,2.7
1,3442,0.0,0.7
1,3455,0.0,1.6
1,3499,0.0,4.2
1,3513,0.0,3.2
1,3529,0.0,3.7
1,3586,0.0,2.4
1,3592,0.0,2.9
1,3599,0.0,4.0
1,3604,0.0,0.3
1,3686,0.0,3.2
1,3709,0.0,1.3
1,3792,0.0,3.1
1,3843,0.0,2.7
1,3932,0.0,3.0
1,4012,0.0,2.4
1,4018,0.0,3.2
1,4040,0.0,2.3
1,4055,0.0,3.1
1,4077,0.0,3.8
1,4081,0.0,1.5
1,4142,0.0,3.2
1,4154,0.0,3.4
1,4202,0.0,2.0
1,4217,0.0,3.5
1,4235,0.0,4.2
1,4238,0.0,3.4
1,4251,0.0,1.3
1,4292,0.0,3.1
1,4439,0.0,3.5
1,4441,0.0,3.4
1,4487,0.0,3.1
1,4541,0.0,2.0
1,4545,0.0,3.3
1,4621,0.0,2.4
1,4622,0.0,2.2
1,4641,0.0,3.8
1,4719,0.0,3.1
1,4722,0.0,2.0
1,4728,0.0,3.0
1,4785,0.0,2.5
1,4821,0.0,3.6
1,4822,0.0,2.0
1,5109,0.0,-0.0
1,5267,0.0,3.4
1,5292,0.0,4.0
1,5424,0.0,2.0
1,5451,0.0,3.2
1,5460,0.0,3.1
1,5497,0.0,3.3
1,5501,0.0,2.0
1,5556,0.0,1.6
1,5630,0.0,3.6
1,5635,0.0,2.0
1,5646,0.0,3.4
1,5817,0.0,3.1
1,5853,0.0,2.9
1,5984,0.0,3.1
1,5986,0.0,2.6
1,6013,0.0,1.5
1,6033,0.0,2.0
1,6145,0.0,0.9
1,6163,0.0,2.8
1,6238,0.0,3.1
1,6254,0.0,3.9
1,6345,0.0,4.2
1,6350,0.0,4.3
1,6368,0.0,3.8
1,6385,0.0,4.0
1,6386,0.0,2.7
1,6407,0.0,1.3
1,6410,0.0,2.1
1,6424,0.0,0.7
1,6434,0.0,1.9
1,6510,0.0,2.0
1,6588,0.0,2.5
1,6603,0.0,1.6
1,6615,0.0,2.6
1,6638,0.0,2.2
1,6695,0.0,1.9
1,6814,0.0,2.0
1,6816,0.0,2.7
1,6857,0.0,3.8
1,6902,0.0,3.5
1,6958,0.0,2.7
1,7007,0.0,3.7
1,7080,0.0,3.6
1,7092,0.0,2.9
1,7153,0.0,4.1
1,7282,0.0,0.7
1,7325,0.0,3.6
1,7375,0.0,3.0
1,7419,0.0,4.0
1,7443,0.0,2.3
1,7616,0.0,1.6
1,7647,0.0,3.2
1,7650,0.0,1.7
1,7786,0.0,2.3
1,7932,0.0,3.5
1,7993,0.0,1.6
1,8033,0.0,3.4
1,8137,0.0,0.3
1,8142,0.0,3.7
1,8225,0.0,2.7
1,8331,0.0,2.5
1,8387,0.0,1.1
1,8578,0.0,2.8
1,8677,0.0,1.3
1,8714,0.0,1.6
1,8771,0.0,1.9
1,8840,0.0,0.7
1,25841,0.0,3.8
1,25927,0.0,1.9
1,25962,0.0,1.9
1,26142,0.0,1.3
1,26150,0.0,2.9
1,27513,0.0,1.5
1,27778,0.0,2.0
1,32213,0.0,2.7
1,34271,0.0,3.8
1,36477,0.0,2.7
1,37736,0.0,3.1
1,41285,0.0,3.8
1,43396,0.0,4.0
1,43928,0.0,2.0
1,44241,0.0,1.3
1,44974,0.0,3.8
1,45635,0.0,2.6
1,45722,0.0,3.6
1,46723,0.0,3.7
1,46865,0.0,0.6
1,47261,0.0,2.8
1,48774,0.0,4.2
1,49735,0.0,2.1
1,50068,0.0,3.8
1,50610,0.0,2.4
1,50802,0.0,2.8
1,50923,0.0,2.0
1,52435,0.0,4.3
1,52967,0.0,3.1
1,52973,0.0,3.9
1,53326,0.0,1.3
1,53450,0.0,1.0
1,53453,0.0,0.3
1,55241,0.0,3.4
1,55280,0.0,3.5
1,55721,0.0,4.4
1,57526,0.0,2.0
1,58998,0.0,4.1
1,59369,0.0,4.0
1,59667,0.0,2.5
1,60753,0.0,-0.0
1,61073,0.0,1.3
1,62344,0.0,2.5
1,62662,0.0,1.9
1,64614,0.0,4.2
1,65682,0.0,3.5
1,66371,0.0,4.2
1,66511,0.0,3.2
1,66544,0.0,2.5
1,67186,0.0,2.3
1,68872,0.0,2.7
1,69524,0.0,3.8
1,71211,0.0,3.4
1,71745,0.0,3.2
1,72489,0.0,3.8
1,72737,0.0,4.0
1,74868,0.0,3.0
1,78209,0.0,3.4
1,80463,0.0,4.0
1,81591,0.0,3.9
1,81819,0.0,3.0
1,81834,0.0,4.1
1,82767,0.0,1.7
1,84187,0.0,3.2
1,85025,0.0,1.4
1,86279,0.0,2.3
1,86833,0.0,3.9
1,87192,0.0,3.3
1,87834,0.0,3.0
1,88593,0.0,1.6
1,89804,0.0,3.4
1,90863,0.0,2.6
1,91470,0.0,2.8
1,91628,0.0,1.4
1,93040,0.0,2.7
1,93723,0.0,1.0
1,93766,0.0,2.2
1,94018,0.0,2.3
1,94323,0.0,2.3
1,94478,0.0,2.6
1,94810,0.0,3.3
1,94833,0.0,3.2
1,95207,0.0,2.9
1,95449,0.0,2.9
1,95875,0.0,3.2
1,96283,0.0,1.9
1,97188,0.0,2.7
1,98203,0.0,1.8
1,99813,0.0,4.4
1,100194,0.0,2.9
